	max_isos_sample	max_sample	annot_gene_name	annot_gene_id
71675	3.0	colon	ELMO3	ENSG00000102890.14
20720	3.0	brain	DGKG	ENSG00000058866.14
10712	3.0	hl60_m1_72hr	MXD1	ENSG00000059728.10
79723	3.0	gm12878	CEP76	ENSG00000101624.10
81024	3.0	h1_de	ADNP2	ENSG00000101544.8
47672	3.0	brain	PSD	ENSG00000059915.16
89217	3.0	muscle	TNNC2	ENSG00000101470.9
55055	3.0	calu3	STYK1	ENSG00000060140.8
94294	3.0	colon	SUV39H1	ENSG00000101945.16
20453	3.0	a673	ATP11B	ENSG00000058063.15
96351	3.0	lung	RENBP	ENSG00000102032.12
95799	3.0	caco2	ELF4	ENSG00000102034.16
60326	3.0	brain	RGCC	ENSG00000102760.12
60285	3.0	brain	MRPS31	ENSG00000102738.7
59936	3.0	a673	PARP4	ENSG00000102699.5
17703	3.0	brain	IL17RB	ENSG00000056736.9
60535	3.0	brain	CDADC1	ENSG00000102543.14
61181	3.0	a673	TNFSF13B	ENSG00000102524.11
95323	3.0	brain	BEX4	ENSG00000102409.9
61298	3.0	liver	F7	ENSG00000057593.13
32336	3.0	gm12878	PRDM1	ENSG00000057657.16
58024	3.0	colon	TMCC3	ENSG00000057704.12
95173	3.0	adipose	SRPX2	ENSG00000102359.6
95121	3.0	h9_neural_crest	KLHL4	ENSG00000102271.13
95039	3.0	heart	MAGT1	ENSG00000102158.19
94302	3.0	k562	GATA1	ENSG00000102145.13
1323	3.0	brain	PITHD1	ENSG00000057757.9
31596	3.0	adrenal gland	ADGRF5	ENSG00000069122.18
91888	3.0	hepg2	SRRD	ENSG00000100104.13
92547	3.0	brain	SH3BP1	ENSG00000100092.22
63118	3.0	adrenal gland	ZBTB25	ENSG00000089775.11
20732	3.0	brain	DNAJB11	ENSG00000090520.11
69315	3.0	h1	TFAP4	ENSG00000090447.11
27076	3.0	heart	KCNN2	ENSG00000080709.15
7243	3.0	gm12878	RGS1	ENSG00000090104.11
54200	3.0	heart	IGSF9B	ENSG00000080854.14
4710	3.0	pgp1_astro	RSBN1	ENSG00000081019.13
22693	3.0	brain	CXCL2	ENSG00000081041.8
95430	3.0	imr90	RBM41	ENSG00000089682.16
72038	3.0	h1	PDPR	ENSG00000090857.13
94776	3.0	a673	IGBP1	ENSG00000089289.15
63234	3.0	ovary	ARG2	ENSG00000081181.7
88084	3.0	a673	TRMT6	ENSG00000089195.14
88193	3.0	colon	KIF16B	ENSG00000089177.18
59058	3.0	h9_neural_crest	SIRT4	ENSG00000089163.4
88165	3.0	brain	TASP1	ENSG00000089123.15
88049	3.0	liver	SLC23A2	ENSG00000089057.14
57654	3.0	gm12878	RAB21	ENSG00000080371.5
32899	3.0	h9_neural_crest	MOXD1	ENSG00000079931.14
8488	3.0	h1_de	NUP133	ENSG00000069248.11
94201	3.0	a673	ARAF	ENSG00000078061.12
73621	3.0	heart	NLRP1	ENSG00000091592.15
37133	3.0	brain	CTTNBP2	ENSG00000077063.10
85136	3.0	gm12878	EXOSC5	ENSG00000077348.8
93819	3.0	heart	SMPX	ENSG00000091482.6
8711	3.0	brain	GPR137B	ENSG00000077585.13
52785	3.0	adrenal gland	NAALAD2	ENSG00000077616.10
95620	3.0	adipose	SLC25A43	ENSG00000077713.18
16263	3.0	h9_neural_crest	CMTM6	ENSG00000091317.7
87225	3.0	a673	NAT14	ENSG00000090971.4
69792	3.0	colon	ABCC6	ENSG00000091262.15
33458	3.0	brain	SYNJ2	ENSG00000078269.14
29717	3.0	gm12878	EDN1	ENSG00000078401.6
417	3.0	h1	TP73	ENSG00000078900.14
79394	3.0	brain	CLUL1	ENSG00000079101.16
81392	3.0	brain	REXO1	ENSG00000079313.14
85297	3.0	heart	LIPE	ENSG00000079435.9
13652	3.0	gm12878	STK17B	ENSG00000081320.10
87901	3.0	colon	ZNF343	ENSG00000088876.11
43561	3.0	brain	ZNF510	ENSG00000081386.12
6286	3.0	h1	IGSF9	ENSG00000085552.16
87521	3.0	colon	ZNF586	ENSG00000083828.15
87388	3.0	colon	ZNF264	ENSG00000083844.10
14983	3.0	brain	USP40	ENSG00000085982.13
69738	3.0	h9_panc_progen	RRN3	ENSG00000085721.12
24879	3.0	h9_chondro	FAT1	ENSG00000083857.13
22487	3.0	adrenal gland	NOA1	ENSG00000084092.6
69178	3.0	adrenal gland	ZNF213	ENSG00000085644.13
58096	3.0	liver	HAL	ENSG00000084110.10
79554	3.0	h1_de	ARHGAP28	ENSG00000088756.12
58520	3.0	vessels	SSH1	ENSG00000084112.14
36538	3.0	hl60_m1_24hr	PILRA	ENSG00000085514.15
4373	3.0	h1	WDR47	ENSG00000085433.15
32325	3.0	caco2	PREP	ENSG00000085377.13
20155	3.0	h9_panc_progen	MECOM	ENSG00000085276.17
50105	3.0	gm12878	CD82	ENSG00000085117.11
9514	3.0	brain	KIF3C	ENSG00000084731.14
34819	3.0	adrenal gland	EPDR1	ENSG00000086289.11
85188	3.0	calu3	CEACAM6	ENSG00000086548.8
87513	3.0	h1	ZNF671	ENSG00000083814.13
72495	3.0	hepg2	HSD17B2	ENSG00000086696.10
61047	3.0	caco2	DOCK9	ENSG00000088387.18
88493	3.0	brain	PDRG1	ENSG00000088356.5
25401	3.0	vessels	C1QTNF3	ENSG00000082196.20
7894	3.0	colon	SERTAD4	ENSG00000082497.11
3433	3.0	h1	ALG6	ENSG00000088035.16
18739	3.0	hl60_m2_24hr	GSK3B	ENSG00000082701.15
77582	3.0	muscle	METTL2A	ENSG00000087995.15
93678	3.0	a673	PIR	ENSG00000087842.10
55558	3.0	brain	ERGIC2	ENSG00000087502.17
10705	3.0	h1	GMCL1	ENSG00000087338.4
71204	3.0	h1_de	OGFOD1	ENSG00000087263.16
32002	3.0	colon	BCKDHB	ENSG00000083123.14
74781	3.0	brain	ULK2	ENSG00000083290.19
60799	3.0	brain	DIS3	ENSG00000083520.14
86108	3.0	brain	HSD17B14	ENSG00000087076.8
82066	3.0	h1	MAP2K7	ENSG00000076984.17
7845	3.0	brain	PLXNA2	ENSG00000076356.6
33344	3.0	mcf7	ESR1	ENSG00000091831.23
15015	3.0	liver	SPP2	ENSG00000072080.10
91514	3.0	hepg2	SERPIND1	ENSG00000099937.10
81440	3.0	colon	IZUMO4	ENSG00000099840.13
15549	3.0	h1	RAD18	ENSG00000070950.9
63710	3.0	h9_chondro	VASH1	ENSG00000071246.10
80765	3.0	heart	CDH19	ENSG00000071991.8
64802	3.0	brain	CEP170B	ENSG00000099814.15
81121	3.0	colon	MISP	ENSG00000099812.8
93904	3.0	hct116	MAGEB2	ENSG00000099399.5
83387	3.0	gm12878	IL12RB1	ENSG00000096996.15
63195	3.0	a673	MPP5	ENSG00000072415.8
84717	3.0	h9_chondro	KCNK6	ENSG00000099337.4
94562	3.0	brain	HSD17B10	ENSG00000072506.12
6529	3.0	gm12878	FCGR2B	ENSG00000072694.20
18584	3.0	colon	SIDT1	ENSG00000072858.10
46600	3.0	hepg2	H2AFY2	ENSG00000099284.13
69763	3.0	hepg2	NDE1	ENSG00000072864.14
91516	3.0	pgp1_excite_neuron	SNAP29	ENSG00000099940.11
91519	3.0	colon	CRKL	ENSG00000099942.12
28337	3.0	brain	CAMK2A	ENSG00000070808.15
91721	3.0	heart	MMP11	ENSG00000099953.9
85527	3.0	adrenal gland	BCL3	ENSG00000069399.14
91849	3.0	colon	LRP5L	ENSG00000100068.12
91811	3.0	a673	SNRPD3	ENSG00000100028.11
66411	3.0	hepg2	RORA	ENSG00000069667.15
91801	3.0	gm12878	UPB1	ENSG00000100024.14
43788	3.0	heart	PTPN3	ENSG00000070159.13
73273	3.0	a673	SMG6	ENSG00000070366.13
92120	3.0	brain	SEC14L2	ENSG00000100003.17
91330	3.0	h1_de	CLTCL1	ENSG00000070371.15
81099	3.0	brain	FGF22	ENSG00000070388.11
92117	3.0	colon	RNF215	ENSG00000099999.14
91774	3.0	colon	CABIN1	ENSG00000099991.17
91767	3.0	hl60	DDT	ENSG00000099977.14
71406	3.0	h1	CSNK2A2	ENSG00000070770.8
91552	3.0	brain	SLC7A4	ENSG00000099960.12
3837	3.0	heart	SYDE2	ENSG00000097096.8
20832	3.0	hmec	TP63	ENSG00000073282.12
76370	3.0	hepg2	TMEM101	ENSG00000091947.9
58288	3.0	adrenal gland	NUP37	ENSG00000075188.8
16435	3.0	colon	XYLB	ENSG00000093217.10
58414	3.0	heart	NUAK1	ENSG00000074590.13
80630	3.0	h9_neural_crest	LMAN1	ENSG00000074695.5
65990	3.0	kidney	SLC12A1	ENSG00000074803.18
22268	3.0	pc9	TXK	ENSG00000074966.10
89851	3.0	h1	KCNQ2	ENSG00000075043.18
91218	3.0	adrenal gland	ADA2	ENSG00000093072.16
93191	3.0	colon	TTC38	ENSG00000075234.16
23666	3.0	a673	ALPK1	ENSG00000073331.17
10784	3.0	h1	ADD2	ENSG00000075340.22
72965	3.0	brain	VPS9D1	ENSG00000075399.13
65836	3.0	a673	WDR76	ENSG00000092470.11
22281	3.0	colon	FRYL	ENSG00000075539.14
11643	3.0	brain	TMEM131	ENSG00000075568.16
80168	3.0	colon	MOCOS	ENSG00000075643.5
61627	3.0	h1	TOX4	ENSG00000092203.13
66492	3.0	colon	CA12	ENSG00000074410.13
6865	3.0	h9_panc_progen	SUCO	ENSG00000094975.13
21577	3.0	brain	PPP2R2C	ENSG00000074211.13
53406	3.0	colon	NXPE1	ENSG00000095110.8
42056	3.0	gm12878	JAK2	ENSG00000096968.13
42348	3.0	gm12878	IFT74	ENSG00000096872.16
29588	3.0	caco2	DSP	ENSG00000096696.13
30080	3.0	brain	ZNF184	ENSG00000096654.15
31504	3.0	a673	MRPS18A	ENSG00000096080.11
13009	3.0	colon	DHRS9	ENSG00000073737.16
31220	3.0	h9_panc_beta	KCNK16	ENSG00000095981.10
20670	3.0	adrenal gland	MAP3K13	ENSG00000073803.13
29712	3.0	h9_panc_progen	HIVEP1	ENSG00000095951.16
81582	3.0	brain	SMIM24	ENSG00000095932.6
45798	3.0	h1_de	MYO3A	ENSG00000095777.15
47197	3.0	h1	BTAF1	ENSG00000095564.13
12259	3.0	h9_de	CLASP1	ENSG00000074054.18
68700	3.0	a673	MRPS34	ENSG00000074071.14
44011	3.0	h9_neural_crest	PSMD5	ENSG00000095261.13
41018	3.0	h9_chondro	TRPS1	ENSG00000104447.12
40719	3.0	colon	SPAG1	ENSG00000104450.12
40327	3.0	h1_de	SNX16	ENSG00000104497.13
33647	3.0	h9_panc_beta	UNC93A	ENSG00000112494.9
32011	3.0	a673	TENT5A	ENSG00000112773.15
29513	3.0	h1_de	PRPF4B	ENSG00000112739.16
31943	3.0	a673	TMEM30A	ENSG00000112697.15
31431	3.0	brain	CUL9	ENSG00000112659.13
31331	3.0	hffc6	BYSL	ENSG00000112578.9
33673	3.0	adipose	SMOC2	ENSG00000112562.18
33601	3.0	ovary	PDE10A	ENSG00000112541.14
33638	3.0	gm12878	CCR6	ENSG00000112486.16
26968	3.0	h1	MAN2A1	ENSG00000112893.9
30875	3.0	h1	SLC39A7	ENSG00000112473.17
32462	3.0	a673	ZBTB24	ENSG00000112365.4
38123	3.0	h1	CHPF2	ENSG00000033100.16
29901	3.0	hl60_m1_12hr	C6orf62	ENSG00000112308.12
29897	3.0	brain	ACOT13	ENSG00000112304.10
32908	3.0	calu3	VNN1	ENSG00000112299.7
29883	3.0	ocily7	ALDH5A1	ENSG00000112294.12
26937	3.0	adrenal gland	NUDT12	ENSG00000112874.9
25080	3.0	k562	TENT4A	ENSG00000112941.13
54669	3.0	heart	P3H3	ENSG00000110811.19
25311	3.0	h9	CDH6	ENSG00000113361.12
28318	3.0	h1	HMGXB3	ENSG00000113716.12
27538	3.0	caco2	SEC24A	ENSG00000113615.12
26899	3.0	gm12878	ST8SIA4	ENSG00000113532.12
27648	3.0	adrenal gland	FAM13B	ENSG00000031003.10
25899	3.0	heart	PDE4D	ENSG00000113448.18
25342	3.0	colon	GOLPH3	ENSG00000113384.13
27289	3.0	h9	LMNB1	ENSG00000113368.11
29324	3.0	colon	BTNL8	ENSG00000113303.11
25727	3.0	a673	MRPS30	ENSG00000112996.10
26442	3.0	brain	ARSB	ENSG00000113273.16
28540	3.0	caco2	HAVCR1	ENSG00000113249.12
26404	3.0	brain	PDE8B	ENSG00000113231.13
27972	3.0	h9_de	PCDHB5	ENSG00000113209.8
28932	3.0	lung	FAF2	ENSG00000113194.12
27883	3.0	adrenal gland	TMCO6	ENSG00000113119.12
27195	3.0	h9_chondro	LOX	ENSG00000113083.13
32875	3.0	gm12878	MED23	ENSG00000112282.17
31856	3.0	brain	COL9A1	ENSG00000112280.16
29848	3.0	calu3	E2F3	ENSG00000112242.14
33166	3.0	adrenal gland	PEX3	ENSG00000034693.14
57405	3.0	mcf7	TBC1D30	ENSG00000111490.13
55913	3.0	h9_panc_beta	ENDOU	ENSG00000111405.8
55285	3.0	brain	RERGL	ENSG00000111404.6
58828	3.0	brain	OAS2	ENSG00000111335.12
55106	3.0	brain	MANSC1	ENSG00000111261.13
58724	3.0	h1	SH2B3	ENSG00000111252.10
39664	3.0	lung	EFCAB1	ENSG00000034239.10
58595	3.0	calu3	TRPV4	ENSG00000111199.10
32247	3.0	adipose	FBXL4	ENSG00000112234.8
46807	3.0	colon	VCL	ENSG00000035403.17
57251	3.0	hl60_m1_72hr	CYP27B1	ENSG00000111012.9
59240	3.0	brain	BCL7A	ENSG00000110987.8
56214	3.0	hl60_m1_24hr	ASIC1	ENSG00000110881.11
54972	3.0	hl60_m2_24hr	CLEC2B	ENSG00000110852.4
8820	3.0	gm12878	ADSS	ENSG00000035687.9
54967	3.0	hl60_m1_12hr	CD69	ENSG00000110848.8
57476	3.0	adrenal gland	CAND1	ENSG00000111530.12
57700	3.0	gm12878	KRR1	ENSG00000111615.13
54608	3.0	hl60	ACRBP	ENSG00000111644.7
58180	3.0	a673	UHRF1BP1L	ENSG00000111647.12
31680	3.0	ocily7	ICK	ENSG00000112144.15
31130	3.0	a673	STK38	ENSG00000112079.8
31056	3.0	colon	PPARD	ENSG00000112033.13
33369	3.0	gm12878	FBXO5	ENSG00000112029.9
3569	3.0	brain	LRRC7	ENSG00000033122.18
32704	3.0	adrenal gland	SERINC1	ENSG00000111897.6
32684	3.0	adrenal gland	MAN1A1	ENSG00000111885.6
32662	3.0	gm12878	CEP85L	ENSG00000111860.13
22543	3.0	brain	UBA6	ENSG00000033178.12
29892	3.0	brain	TDP2	ENSG00000111802.13
59067	3.0	adrenal gland	COX6A1	ENSG00000111775.2
59017	3.0	h9	RAB35	ENSG00000111737.11
55376	3.0	brain	C2CD5	ENSG00000111731.12
55370	3.0	adrenal gland	ST8SIA1	ENSG00000111728.10
54695	3.0	wtc11	SPSB2	ENSG00000111671.9
28834	3.0	colon	BNIP1	ENSG00000113734.17
28881	3.0	brain	HRH2	ENSG00000113749.7
17707	3.0	h9_osteocyte	ACTR8	ENSG00000113812.13
10164	3.0	brain	EPAS1	ENSG00000116016.13
773	3.0	brain	FBXO6	ENSG00000116663.10
7178	3.0	a673	EDEM3	ENSG00000116406.18
4393	3.0	colon	KIAA1324	ENSG00000116299.16
7011	3.0	adrenal gland	ANGPTL1	ENSG00000116194.12
326	3.0	pgp1_endo	MORN1	ENSG00000116151.13
8110	3.0	brain	MARK1	ENSG00000116141.15
895	3.0	colon	DNAJC16	ENSG00000116138.12
10090	3.0	h9_de	THADA	ENSG00000115970.18
32700	3.0	adrenal gland	HSF2	ENSG00000025156.12
13821	3.0	h1_de	ORC2	ENSG00000115942.8
13225	3.0	adrenal gland	WIPF1	ENSG00000115935.17
10007	3.0	h1	SOS1	ENSG00000115904.12
13727	3.0	heart	PLCL1	ENSG00000115896.15
12536	3.0	a673	RAB3GAP1	ENSG00000115839.17
9936	3.0	adrenal gland	QPCT	ENSG00000115828.16
9233	3.0	h9	NOL10	ENSG00000115761.15
913	3.0	brain	PLEKHM2	ENSG00000116786.12
8563	3.0	h9_neural_crest	TSNAX	ENSG00000116918.13
2343	3.0	brain	HPCAL4	ENSG00000116983.12
2371	3.0	caco2	MYCL	ENSG00000116990.10
3009	3.0	liver	SLC5A9	ENSG00000117834.12
7965	3.0	a673	NENF	ENSG00000117691.9
4180	3.0	brain	PLPPR5	ENSG00000117598.11
4072	3.0	adipose	DR1	ENSG00000117505.12
6758	3.0	h1	SLC19A2	ENSG00000117479.13
2684	3.0	adrenal gland	IPO13	ENSG00000117408.10
3927	3.0	hffc6	GBP1	ENSG00000117228.9
7656	3.0	a673	RBBP5	ENSG00000117222.13
6585	3.0	h9_osteocyte	RGS4	ENSG00000117152.13
1053	3.0	hl60	ACTL8	ENSG00000117148.7
1033	3.0	brain	SDHB	ENSG00000117118.9
1037	3.0	colon	PADI2	ENSG00000117115.12
6372	3.0	gm12878	CD48	ENSG00000117091.9
6184	3.0	colon	ETV3	ENSG00000117036.11
2458	3.0	h1	KCNQ4	ENSG00000117013.15
9191	3.0	adrenal gland	TAF1B	ENSG00000115750.16
11801	3.0	hl60_m1_24hr	IL18R1	ENSG00000115604.10
20812	3.0	h1	BCL6	ENSG00000113916.17
20955	3.0	colon	ACAP2	ENSG00000114331.13
16453	3.0	h9_neural_crest	WDR48	ENSG00000114742.13
19097	3.0	brain	EFCC1	ENSG00000114654.7
19039	3.0	h1	PODXL2	ENSG00000114631.10
19020	3.0	caco2	PLXNA1	ENSG00000114554.11
18508	3.0	colon	C3orf52	ENSG00000114529.12
20346	3.0	heart	GNB4	ENSG00000114450.9
17403	3.0	adrenal gland	TUSC2	ENSG00000114383.9
17064	3.0	heart	PRKAR2A	ENSG00000114302.15
11797	3.0	brain	IL1RL1	ENSG00000115602.16
20875	3.0	h1	FGF12	ENSG00000114279.13
17719	3.0	hffc6	WNT5A	ENSG00000114251.14
16068	3.0	brain	KAT2B	ENSG00000114166.7
19576	3.0	adrenal gland	XRN1	ENSG00000114127.10
18328	3.0	adrenal gland	NIT2	ENSG00000114021.11
33570	3.0	h9_neural_crest	AGPAT4	ENSG00000026652.13
19312	3.0	brain	AMOTL2	ENSG00000114019.14
19873	3.0	a673	ARHGEF26	ENSG00000114790.12
20630	3.0	colon	CLCN2	ENSG00000114859.15
17649	3.0	hl60_m1_72hr	NEK4	ENSG00000114904.12
14037	3.0	brain	ADAM23	ENSG00000114948.12
14357	3.0	colon	PLCD4	ENSG00000115556.13
11353	3.0	brain	KDM3A	ENSG00000115548.16
11275	3.0	brain	GNLY	ENSG00000115523.16
13696	3.0	brain	COQ10B	ENSG00000115520.8
14945	3.0	h9_panc_beta	KCNJ13	ENSG00000115474.6
14267	3.0	colon	IGFBP5	ENSG00000115461.4
13519	3.0	h9_de	WDR75	ENSG00000115368.9
12926	3.0	gm12878	IFIH1	ENSG00000115267.6
13448	3.0	colon	PDE1A	ENSG00000115252.18
9690	3.0	brain	FNDC4	ENSG00000115226.9
12796	3.0	gm12878	CYTIP	ENSG00000115165.9
12738	3.0	gm12878	STAM2	ENSG00000115145.9
9476	3.0	brain	DNAJC27	ENSG00000115137.11
11638	3.0	pgp1_endo	ZAP70	ENSG00000115085.13
11505	3.0	brain	KCNIP3	ENSG00000115041.12
56168	3.0	h1_de	PRPF40B	ENSG00000110844.13
54466	3.0	huvec	VWF	ENSG00000110799.13
41202	3.0	a673	SQLE	ENSG00000104549.11
93645	3.0	a673	GEMIN8	ENSG00000046647.13
37062	3.0	hl60_m0	TFEC	ENSG00000105967.15
37577	3.0	adrenal gland	ZC3HAV1	ENSG00000105939.12
37564	3.0	calu3	ATP6V0A4	ENSG00000105929.16
37539	3.0	h9_neural_crest	PTN	ENSG00000105894.11
34294	3.0	heart	SP4	ENSG00000105866.14
36149	3.0	h9_panc_progen	BET1	ENSG00000105829.12
84672	3.0	h1_de	SIPA1L3	ENSG00000105738.10
85267	3.0	h1_de	ERF	ENSG00000105722.9
38310	3.0	heart	VIPR2	ENSG00000106018.13
83632	3.0	pgp1_excite_neuron	PBX4	ENSG00000105717.13
40037	3.0	h1	PREX2	ENSG00000046889.18
83453	3.0	adipose	ELL	ENSG00000105656.12
83411	3.0	lung	PDE4C	ENSG00000105650.22
83405	3.0	brain	RAB3A	ENSG00000105649.9
27072	3.0	brain	YTHDC2	ENSG00000047188.15
86974	3.0	brain	TFPT	ENSG00000105619.13
38251	3.0	hl60_m0	RNF32	ENSG00000105982.16
34616	3.0	brain	FKBP14	ENSG00000106080.10
53122	3.0	brain	ELMOD1	ENSG00000110675.12
34901	3.0	h1	GLI3	ENSG00000106571.13
43741	3.0	h9_neural_crest	FKTN	ENSG00000106692.14
89447	3.0	adrenal gland	RIPOR3	ENSG00000042062.11
35614	3.0	hl60_m2_12hr	LIMK1	ENSG00000106683.14
35021	3.0	brain	GCK	ENSG00000106633.15
35478	3.0	h9_panc_progen	STAG3L4	ENSG00000106610.15
34940	3.0	gm12878	BLVRA	ENSG00000106605.10
34911	3.0	a673	PSMA2	ENSG00000106588.10
39021	3.0	brain	ADAM28	ENSG00000042980.12
37796	3.0	ocily7	CASP2	ENSG00000106144.19
37333	3.0	brain	NRF1	ENSG00000106459.14
34102	3.0	gm12878	RPA3	ENSG00000106399.11
36654	3.0	h1	AP1S1	ENSG00000106367.14
42227	3.0	h1	CNTLN	ENSG00000044459.14
36653	3.0	h9_chondro	SERPINE1	ENSG00000106366.8
36565	3.0	brain	AGFG2	ENSG00000106351.12
80015	3.0	colon	DSG2	ENSG00000046604.12
21967	3.0	hl60_m1_72hr	ARAP2	ENSG00000047365.11
82773	3.0	colon	DNASE2	ENSG00000105612.8
87031	3.0	adipose	LILRB5	ENSG00000105609.16
37867	3.0	colon	ARHGEF5	ENSG00000050327.14
84975	3.0	h1	AKT2	ENSG00000105221.16
87393	3.0	pgp1	AURKC	ENSG00000105146.12
83016	3.0	h9_chondro	SYDE1	ENSG00000105137.12
83061	3.0	hl60	RASAL3	ENSG00000105122.12
82271	3.0	a673	OLFM2	ENSG00000105088.8
83186	3.0	h1	MED26	ENSG00000105085.10
87084	3.0	hl60_m0	LILRA1	ENSG00000104974.11
86390	3.0	gm12878	IL4I1	ENSG00000104951.15
7204	3.0	a673	TPR	ENSG00000047410.13
86210	3.0	pgp1_excite_neuron	DKKL1	ENSG00000104901.6
85621	3.0	calu3	PPP1R13L	ENSG00000104881.15
39238	3.0	hepg2	GSR	ENSG00000104687.13
39209	3.0	brain	DCTN6	ENSG00000104671.7
23817	3.0	lung	TNIP3	ENSG00000050730.15
38523	3.0	h9_osteocyte	MTMR9	ENSG00000104643.9
38460	3.0	colon	ERI1	ENSG00000104626.14
85043	3.0	h1	NUMBL	ENSG00000105245.9
81686	3.0	pgp1_excite_neuron	SHD	ENSG00000105251.10
84432	3.0	brain	CLIP3	ENSG00000105270.14
585	3.0	brain	VAMP3	ENSG00000049245.12
82700	3.0	brain	WDR83OS	ENSG00000105583.10
86090	3.0	heart	RASIP1	ENSG00000105538.9
86043	3.0	colon	FAM83E	ENSG00000105523.3
86644	3.0	adipose	HAS1	ENSG00000105509.10
86626	3.0	h9_panc_progen	ZNF175	ENSG00000105497.7
86508	3.0	a673	CLEC11A	ENSG00000105472.12
86024	3.0	h1	KDELR1	ENSG00000105438.8
32655	3.0	kidney	GOPC	ENSG00000047932.13
82324	3.0	k562	ICAM5	ENSG00000105376.4
82321	3.0	caco2	ICAM4	ENSG00000105371.9
69650	3.0	gm12878	TNFRSF17	ENSG00000048462.10
69653	3.0	adipose	SNX29	ENSG00000048471.13
57869	3.0	colon	KITLG	ENSG00000049130.15
641	3.0	heart	H6PD	ENSG00000049239.12
41438	3.0	brain	DENND3	ENSG00000105339.10
42796	3.0	h9_chondro	CNTNAP3	ENSG00000106714.17
80495	3.0	calu3	RAB27B	ENSG00000041353.9
43116	3.0	brain	PRUNE2	ENSG00000106772.17
75100	3.0	wtc11	PHF12	ENSG00000109118.13
24101	3.0	calu3	INPP4B	ENSG00000109452.12
22719	3.0	hmec	AREG	ENSG00000109321.10
24698	3.0	h9_panc_progen	AGA	ENSG00000038002.8
22411	3.0	k562	NMU	ENSG00000109255.11
22600	3.0	calu3	ODAM	ENSG00000109205.16
22276	3.0	colon	SLAIN2	ENSG00000109171.14
22232	3.0	gm12878	GABRA4	ENSG00000109158.10
75022	3.0	pgp1_astro	SUPT6H	ENSG00000109111.14
75198	3.0	colon	CPD	ENSG00000108582.11
78174	3.0	h1_de	TMEM104	ENSG00000109066.13
38659	3.0	heart	MSR1	ENSG00000038945.14
76343	3.0	brain	DUSP3	ENSG00000108861.8
25824	3.0	h9_panc_progen	MTREX	ENSG00000039123.15
76243	3.0	heart	PTGES3L-AARSD1	ENSG00000108825.17
76977	3.0	a673	ABI3	ENSG00000108798.8
75390	3.0	hl60_m1_12hr	CCL1	ENSG00000108702.3
24113	3.0	brain	GAB1	ENSG00000109458.8
24535	3.0	brain	CPE	ENSG00000109472.13
23624	3.0	colon	GAR1	ENSG00000109534.16
24603	3.0	colon	AADAT	ENSG00000109576.13
53781	3.0	brain	NECTIN1	ENSG00000110400.10
22540	3.0	hl60	STAP1	ENSG00000035720.7
49341	3.0	a673	RNF141	ENSG00000110315.6
53430	3.0	hepg2	APOA5	ENSG00000110243.11
51928	3.0	colon	CPT1A	ENSG00000110090.12
51866	3.0	brain	UNC93B1	ENSG00000110057.7
50571	3.0	caco2	OSBP	ENSG00000110048.11
51256	3.0	heart	SNX15	ENSG00000110025.12
53932	3.0	heart	SIAE	ENSG00000110013.12
53869	3.0	heart	JHY	ENSG00000109944.10
21868	3.0	colon	PPARGC1A	ENSG00000109819.8
24817	3.0	adrenal gland	UFSP2	ENSG00000109775.10
21501	3.0	liver	HGFAC	ENSG00000109758.8
21890	3.0	hl60_m0	SEPSECS	ENSG00000109618.11
29289	3.0	heart	FLT4	ENSG00000037280.15
74788	3.0	a673	AKAP10	ENSG00000108599.14
75185	3.0	h9_panc_beta	SLC6A4	ENSG00000108576.9
43624	3.0	h1	TRIM14	ENSG00000106785.14
44635	3.0	a673	NCS1	ENSG00000107130.9
42474	3.0	a673	UBE2R2	ENSG00000107341.4
45083	3.0	brain	ABCA2	ENSG00000107331.16
42230	3.0	brain	SH3GL2	ENSG00000107295.9
44706	3.0	heart	RAPGEF1	ENSG00000107263.18
42031	3.0	vessels	GLIS3	ENSG00000107249.22
42983	3.0	colon	PIP5K1B	ENSG00000107242.17
42613	3.0	h9_chondro	TESK1	ENSG00000107140.15
41957	3.0	h9_de	DOCK8	ENSG00000107099.15
74501	3.0	adipose	RASD1	ENSG00000108551.4
42075	3.0	h1_de	RIC1	ENSG00000107036.11
91457	3.0	brain	RTN4R	ENSG00000040608.13
43837	3.0	a673	SUSD1	ENSG00000106868.16
25281	3.0	brain	CDH10	ENSG00000040731.10
43152	3.0	brain	TLE4	ENSG00000106829.18
43396	3.0	h9_chondro	ASPN	ENSG00000106819.11
43656	3.0	brain	SEC61B	ENSG00000106803.9
43048	3.0	brain	ABHD17B	ENSG00000107362.13
47978	3.0	adrenal gland	ATRNL1	ENSG00000107518.17
48051	3.0	gm12878	EIF3A	ENSG00000107581.12
46551	3.0	a673	DDX50	ENSG00000107625.12
73545	3.0	brain	CAMTA2	ENSG00000108509.20
73391	3.0	colon	P2RX1	ENSG00000108405.3
75860	3.0	brain	RAPGEFL1	ENSG00000108352.12
75726	3.0	brain	FBXL20	ENSG00000108306.12
46499	3.0	colon	PBLD	ENSG00000108187.15
46474	3.0	a673	DNAJC12	ENSG00000108176.14
46393	3.0	colon	TFAM	ENSG00000108064.10
45318	3.0	h1	FAM208B	ENSG00000108021.20
47621	3.0	brain	FBXW4	ENSG00000107829.13
47584	3.0	heart	SFXN3	ENSG00000107819.13
47139	3.0	brain	LIPA	ENSG00000107798.17
